id,artist
1,"10,000 Maniacs"
2,10Cc
3,112
4,14 Bis
5,1Kilo
6,2 Pac
7,3 Doors Down
8,30 Seconds To Mars
9,365
10,3Lw
11,4 Non Blondes
12,5 A Seco part. Maria Gadu
13,5 Seconds Of Summer
14,50 Cent
15,5Th Dimension (The)
16,98 Degrees
17,A Banda Mais Bonita Da Cidade
18,A Cor Do Som
19,A Molecada
20,A Teens
21,A Turma Da Monica
22,A Turma Do Balão Magico
23,A vigilia
24,A Zorra
25,A-Ha
26,Aaron Neville
27,Abba
28,Abelhudos
29,Abertura De Ano Novo
30,Abilio Farias
31,Absyntho
32,Ac/Dc
33,Acacio
34,Academia Da Fama
35,Ace Of Base
36,Acustico D3
37,Adair Cardoso
38,Adair Cardoso part. Claudia Leitte
39,Adalberto E Adriano
40,Adam Lambert
41,Adele
42,Adelino Nascimento
43,Adelmario Coelho
44,Adhemar De Campos (Comunidade Da Graça)
45,Adilson Ramos
46,Adoniran Barbosa
47,Adoração E Adoradores
48,Adrian Gurvitz
49,Adriana
50,Adriana Calcanhotto
51,Adriana Marques
52,Adriano Celentano
53,Adryana E A Rapaziada
54,Adryana Ribeiro
55,Adryana Ribeiro part. Luiz Carlos
56,Adson E Alana
57,Adson E Alana part. Edy Lemond
58,Adson E Alana part. Pedro Paulo E Alex
59,Aerosmith
60,Afrodisiaco
61,Afrodite Se Quiser
62,Agepê
63,Aggeu Marques
64,Agnaldo Rayol
65,Agnaldo Rayol part. Charlotte Church
66,Agnaldo Timóteo
67,Agnela
68,Agostinho Dos Santos
69,Agroplay E Ana Castela
70,AgroPlay part. Ana Castela
71,Aguinaldo Timóteo
72,Air Supply
73,Akon
74,Akundum
75,Al Green
76,Al Jarreau
77,Al Jolson
78,Al Martino
79,Al Stewart
80,Alabama
81,Alan E Aladin
82,Alan Jackson
83,Alan Jackson ft. George Strait
84,Alan Jackson ft. Jimmy Buffett
85,Alan Parson'S Project (The)
86,Alan Walker
