title,code,artist_id
São Paulo,06549,9
Bola De Meia Bola De Gude,01039,4
Bola De Meia Bola De Gude,50002,4
Espanhola,50003,4
Linda Juventude,03755,4
Linda Juventude,50004,4
Natural,07392,4
Natural,54789,4
Planeta Sonho,06074,4
Planeta Sonho,50005,4
Romance,07693,4
Todo Azul Do Mar,06197,4
Todo Azul Do Mar,50006,4
Uma Velha Canção,50007,4
Uma Velha Canção Rock'N'Roll,09556,4
Deixe Me Ir,50001,5
Deixe Me Ir,54793,5
Reza Sincera (Cypher),85709,5
Em Paz,15225,12
Canção Pra Não Voltar,15450,17
Oração,02748,17
Abri A Porta,06402,18
Abri A Porta,50019,18
Menino Deus,07175,18
Menino Deus,50020,18
Semente Do Amor,17247,18
Viva,15200,18
Zanzibar,07480,18
Zanzibar,50021,18
A Barata E Marcha Soldado,50022,19
É De Chocolate,50027,19
Fui Morar Numa Casinha,50023,19
O Pato Pateta,50024,19
Samba Lele,50025,19
Unidunite,50026,19
Ser Crianca É Bom,07548,21
A Galinha Magricela,07505,22
A Galinha Magricela,50536,22
A Galinha Magricela,59085,22
Amigos Do Peito,59086,22
Bombom (Maria Isabel),02883,22
Depende De Nós,59087,22
É Tão Lindo,50028,22
É Tão Lindo,59091,22
Juntos (Juntos),02912,22
Lindo Balão Azul,50029,22
Lindo Balão Azul,59088,22
O Pato Pateta,54434,22
Pato Pateta,59089,22
Se Enamora (E' L' Amore),02928,22
Super Fantástico,50030,22
Super Fantástico,59090,22
Estamos Aqui,05608,23
Jeová É O Teu Cavaleiro,05614,23
Jesus Te Entronizamos,05617,23
Renova-Me,05636,23
A Cor Da Esperança,09574,24
As Crianças E Os Animais,01804,28
Marcas Do Que Se Foi,54796,29
Coração Indeciso,15049,30
O Genro Odiado,15130,30
Vou Fechar O Cabaré,01790,30
Só A Lua,06355,31
Só A Lua,50034,31
Ursinho Blau Blau,50035,31
Do Meu Jeito,54804,33
Do Meu Jeito,50040,33
Recompensa De Um Milhão,85001,33
Rom‚ntico Anônimo,85002,33
A Lenda,50041,34
Assim Caminha A Humanidade,50042,34
Azul Da Cor Do Mar,50043,34
Caçador De Mim,54799,34
